區域,里別,日期,星期,集合時間,集合地點,緯度,經度,鎖匠,警員,刑警,噴工數,支援人力
安南區,大安里,08月05日,三,13:50,義安街86巷,23.0316283,120.1952256,1,1,1,5,4
安平區,平安里,08月06日,四,08:30,臺南市安平區安平路,22.9986619,120.1696202,1,1,1,2,
安平區,國平里,08月06日,四,08:30,臺南市安平區育平五街,22.9906705,120.1689224,1,1,1,2,
中西區,天后里,08月06日,四,08:45,臺南市中西區永福路二段,22.9934206,120.2011362,1,1,1,3,5
中西區,協和里,08月06日,四,08:45,臺南市中西區西和路,23.0014309,120.190367,1,1,1,2,3
永康區,安康區,08月06日,四,08:45,中華路619巷23弄,23.0139972,120.2289403,1,1,1,3,
安南區,溪頂里,08月06日,四,08:50,府安路四段132巷,23.0251173,120.208966,1,1,1,7,8
中西區,西賢里,08月06日,四,13:45,西賢一街148巷,23.002056,120.178837,1,1,1,6,8
永康區,西灣里,08月06日,四,13:45,大勇路62巷,23.0084313,120.2617721,1,1,1,5,
北區,正覺里,08月06日,四,13:30,北區正覺街,23.0171466,120.2127467,3,3,3,13,21
永康區,鹽行里,08月07日,五,08:45,台南市三村一街,23.0431183,120.2385215,1,1,1,4,0
永康區,勝利里,08月07日,五,08:45,台南市中華路7巷,23.0086703,120.2337335,0,1,1,3,0
中西區,民權里,08月07日,五,08:45,台南市中西區和平街,22.9965807,120.1967339,1,1,1,4,4
中西區,中正里,08月07日,五,08:45,台南市正德街,22.9941272,120.1954841,1,1,1,7,4
安平區,怡平里,08月07日,五,08:30,台南市慶平路,22.9971279,120.1730348,1,1,1,2,0
東區,裕農里,08月07日,五,08:50,台南市裕豐街214巷,22.9881152,120.2280762,1,1,1,3,0
安定區,海寮里,08月07日,五,13:40,台南市安定區安定里,23.1115672,120.2541575,1,1,,3,3
永康區,中興里,08月07日,五,13:45,台南市中華二路,23.0085216,120.2358039,1,1,1,4,3
永康區,安康里,08月07日,五,13:45,台南市大橋一街,23.0174773,120.2286974,1,1,1,3,0
安南區,安和里,08月07日,五,13:50,府安路三段289巷25弄,23.0298362,120.2178081,1,1,1,7,15
安南區,安和里,08月07日,五,13:50,府安路三段289巷25弄,23.0298362,120.2178081,,,,5,
中西區,文賢里,08月07日,五,13:45,台南市文和街,23.0022274,120.190948,1,1,1,3,0
中西區,萬昌里,08月07日,五,13:45,台南市民權里一段,23.022854,120.1917946,1,1,1,2,0
安平區,金城里,08月10日,一,08:30,台南市世平五街,22.995683,120.1478894,1,1,1,3,0
南區,開南里,08月10日,一,08:45,台南市新建路49巷,22.9667092,120.1859377,2,2,2,6,4
東區,路東里,08月10日,一,08:50,台南市東區大同路二段,22.9707328,120.2152639,0,1,1,1,0
安南區,溪東里,08月10日,一,08:50,台南市府安路5段44巷,23.0261172,120.2030227,1,1,1,8,0
南區,金華里,08月10日,一,13:45,台南市南區新孝路,22.9780058,120.1846304,2,2,2,5,4
安南區,溪東里、鳳凰里,08月10日,一,13:50,台南市府安路五段44巷,23.0261172,120.2030227,1,1,1,9,0
北區,成德里,08月11日,二,08:30,台南市北區西門路四段,23.0124842,120.2090936,3,3,3,21,34
北區,六甲里,08月11日,二,08:30,台南市西門路四段200巷,23.0102173,120.2091672,4,4,4,13,26
安平區,文平里,08月11日,二,08:30,台南市安平區建平六街,22.9872536,120.1839502,1,1,1,5,5
南區,鯤鯓里,08月11日,二,08:45,台南市鯤鯓路162巷,22.9608823,120.1707079,1,1,1,2,0
永康區,二王里,08月11日,二,08:45,台南市忠孝路,23.0401727,120.3116709,1,1,1,4,2
永康區,勝利里,08月11日,二,08:45,台南市中華一路203巷,23.0033124,120.2336075,1,1,1,3,2
安南區,溪北里,08月11日,二,08:50,台南市府安路四段91巷22弄,23.0261136,120.2118185,1,1,1,9,17
東區,東門里,08月11日,二,08:50,台南市東區慶東街,22.9889271,120.216263,1,1,1,2,2
北區,正風里,08月11日,二,13:30,台南市長榮路五段452巷,23.0139366,120.21421,4,4,4,34,54
安平區,西門里,08月11日,二,13:30,台南市安北路,23.0004927,120.1543945,1,1,1,5,5
南區,明亮里,08月11日,二,13:45,台南市新都路506巷,22.9681178,120.1923354,1,1,1,5,4
安南區,安西里,08月11日,二,13:50,台南市安南區安和路一段321巷21弄,23.0329769,120.210919,1,1,1,5,5
永康區,三合里,08月11日,二,13:45,台南市南工街247巷35弄,23.0104481,120.2394052,1,1,1,6,5
永康區,甲頂里,08月11日,二,13:45,台南市中正南路52巷,23.0207019,120.2188813,1,1,1,4,5
東區,泉南里,08月11日,二,13:50,台南市東區慶東街,22.9889271,120.216263,1,1,1,4,6
北區,正覺里,08月12日,三,08:30,台南市北區正覺街,23.0171466,120.2127467,4,4,4,23,42
中西區,民權里,08月12日,三,08:45,民權路三段157號旁風神廟門口,24.9739342,121.213782,2,2,2,5,20
南區,喜北里,08月12日,三,08:45,台南市喜樹路134巷,22.9438564,120.1789602,1,1,1,4,10
永康區,烏竹里,08月12日,三,08:45,台南市永康區龍橋街,23.0400423,120.2638255,1,1,1,2,0
永康區,五王里,08月12日,三,08:45,台南市永康區五福街,23.013277,120.2338806,1,1,1,4,2
北區,永祥里,08月12日,三,13:30,台南市北區實踐街85巷,23.0145383,120.2195684,3,3,3,13,22
安平區,華平里,08月12日,三,13:30,台南市安平區健康二街,22.9901363,120.1736135,1,1,1,5,6
中西區,民生里,08月12日,三,13:45,台南市中西區武英街,22.9892856,120.1916559,1,1,1,5,20
南區,大忠里,08月12日,三,13:45,台南市中華南路一段186巷,22.9710543,120.210568,1,1,1,5,10
永康區,鹽行里,08月12日,三,13:45,台南市中正北路177巷,23.0423379,120.2427645,1,1,1,3,5
麻豆區,埤頭里,08月13日,四,08:20,興國路,23.1788134,120.2479211,1,0,1,3,0
安平區,國平里,08月13日,四,08:30,建平五街184巷,22.9883111,120.1766151,1,1,1,2,0
北區,六甲里,08月13日,四,08:30,公園路758巷,23.0104919,120.2120262,6,6,6,16,32
永康區,三合里,08月13日,四,08:45,南工街247巷35弄,23.0104398,120.2389957,1,1,1,7,6
中西區,保安里,08月13日,四,08:45,海安路一段與友愛街路口,22.9932743,120.1959289,1,1,1,5,10
東區,路東里,08月13日,四,08:50,大同路二段61巷,22.9801661,120.2132144,1,1,1,5,6
安南區,安富里,08月13日,四,08:50,府安路五段230巷,23.022386,120.1946698,1,1,1,5,6
北區,永祥里,08月13日,四,13:30,實踐街85巷,23.0145383,120.2195684,3,3,3,14,28
中西區,安海里,08月13日,四,13:45,河中街,22.9952064,120.1931788,1,1,1,5,10
永康區,甲頂里,08月13日,四,13:45,中正南路168巷2弄,23.0214121,120.21855,1,1,1,4,2
永康區,甲頂里,08月13日,四,13:45,中正南路52巷46弄,23.0197137,120.2177941,1,1,1,3,2
安南區,安富里,08月13日,四,13:50,府安路五段223巷24弄,23.0232037,120.1948804,1,1,1,7,10
麻豆區,中民里,08月13日,四,14:30,興國路,23.1788134,120.2479211,1,0,1,3,0
北區,成功里,08月14日,五,08:30,台南市北區北安路一段142巷,23.0180275,120.2101066,5,5,5,25,50
中西區,大涼里,08月14日,五,08:45,台南市中西區永華一街44巷,22.9895289,120.1896639,1,1,1,2,3
中西區,民權里,08月14日,五,08:45,台南市中西區民權路三段,22.9982223,120.1933076,1,1,1,1,2
永康區,二王,08月14日,五,08:45,台南市永康區中山南路490巷,23.0168732,120.2406545,1,1,1,5,0
南區,大恩里,08月14日,五,08:45,台南市安平區大同路二段750巷,22.9663881,120.2130517,2,2,2,7,12
安南區,安慶里,08月14日,五,08:50,台南市安平區安中路一段189巷48弄,22.9934043,120.1647036,1,1,1,10,14
安南區,安慶里,08月14日,五,13:50,台南市安平區北安二街1巷,23.0152177,120.2113975,1,1,1,7,8
善化區,東關里,08月14日,五,14:00,台南市善化區中興路,23.1315027,120.291847,1,1,1,11,0
北區,成德里,08月14日,五,13:30,台南市北區西門路四段,23.0124842,120.2090936,2,2,2,22,46
北區,成德里,08月14日,五,13:30,台南市北區育成路,23.0180527,120.2069853,0,0,0,2,4
北區,和順里,08月14日,五,13:30,台南市北區西門路三段,23.0026667,120.2035199,0,0,0,6,12
中西區,民生里,08月14日,五,13:45,台南市中西區大仁街,22.9904805,120.1932243,1,1,1,2,6
永康區,二王,08月14日,五,13:45,台南市永康區中山南路544巷,23.0170741,120.2422197,1,1,1,3,2
永康區,鹽行里,08月14日,五,13:45,台南市永康區南工街267巷,23.012911,120.2378745,1,1,1,2,5
南區,大恩里,08月14日,五,13:45,台南市安平區大同路二段750巷,22.9663881,120.2130517,1,1,1,5,12
安平區,海頭里,08月14日,五,13:30,台南市安平區中興街,23.001612,120.162833,1,1,1,4,4
安平區,平通里,08月14日,五,13:30,台南市安平區平通路,22.9930277,120.1753046,1,1,1,1,0
東區,東門里,08月14日,五,13:50,台南市東區東門路一段,22.9877687,120.2151117,1,0,0,1,4
南區,南華里,08月15日,六,08:30,台南市南區南和路,22.9599179,120.1872404,3,3,3,15,30
東區,東門里、泉南里,08月15日,六,08:30,台南市東區東門路一段,22.9877687,120.2151117,1,1,1,7,39
中西區,民主里,08月15日,六,08:45,台南市中西區金華新路,22.9933072,120.1932474,1,1,1,3,10
安南區,海東里,08月15日,六,08:50,台南市安南區海東二街,23.0445064,120.2184734,1,1,1,7,12
永康區,勝利里,08月15日,六,08:45,台南市永康區勝利街1巷,23.0014551,120.2301644,,,,7,24
中西區,水仙里,08月15日,六,13:45,台南市中西區民權路三段,22.9982223,120.1933076,1,1,1,4,10
南區,南華里,08月15日,六,13:30,台南市南區南和路,22.9599179,120.1872404,2,2,2,7,14
南區,開南里,08月15日,六,13:30,台南市南區南和路,22.9599179,120.1872404,1,1,1,2,4
南區,日新里,08月15日,六,13:30,台南市南區南和路,22.9599179,120.1872404,1,1,1,6,12
安南區,溪頂里,08月15日,六,13:50,台南市安南區府安路四段109巷,23.0250846,120.210048,1,1,1,7,12
永康區,勝利里,08月15日,六,13:30,台南市永康區勝利街1巷,23.0014551,120.2301644,,,,7,24
東區,泉南里,08月15日,六,13:30,台南市東區光華街,22.9856543,120.2169488,1,1,1,7,39
安南區,溪東里,08月16日,日,08:30,台南市安南區府安路四段,23.0249211,120.2105439,1,1,1,10,20
安平區,文平里,08月16日,日,08:30,台南市安平區建平五街,22.9877336,120.1780478,1,1,1,1,0
安平區,海頭里,08月16日,日,08:30,台南市安平區古堡街90巷,23.003867,120.1604463,1,1,1,5,5
仁德區,新田里,08月16日,日,08:45,台南市仁德區北保一街,22.9546099,120.2513993,1,1,1,3,0
中西區,民生里,08月16日,日,08:45,台南市中西區華街,22.9902618,120.1967104,2,2,2,20,40
善化區,北關里、文正里,08月16日,日,08:45,台南市善化區中山路,23.1320504,120.2952307,2,2,2,9,0
永康區,西勢里,08月16日,日,08:45,台南市永康區富強路一段185巷,23.0179543,120.273142,1,1,1,5,8
永康區,二王里,08月16日,日,08:45,台南市永康區永二街447巷,23.0186841,120.2468918,1,1,1,3,4
南區,新興里,08月16日,日,08:30,台南市南區南和路,22.9599179,120.1872404,3,3,3,15,0
南區,文華里,08月16日,日,13:30,台南市南區南和路,22.9599179,120.1872404,2,2,2,12,0
南區,文南里,08月16日,日,13:30,台南市南區南和路,22.9599179,120.1872404,1,1,1,5,0
安南區,南興里,08月16日,日,13:30,台南市安南區公學路五段527巷2弄,23.0729127,120.1602938,1,1,1,1,2
安南區,溪東里,08月16日,日,13:30,台南市安南區府安路四段,23.0249211,120.2105439,1,1,1,10,20
安南區,安和里,08月16日,日,13:30,台南市安南區府安路三段276巷28弄,23.0305774,120.2183047,1,1,1,4,8
中西區,大涼里,08月16日,日,13:45,台南市中西區府前一街9巷,22.9929601,120.1879956,1,1,1,6,12
中西區,永福里,08月16日,日,13:45,台南市中西區中正路39巷,22.9914107,120.2020127,1,1,1,4,8
中西區,西賢里,08月16日,日,13:45,台南市中西區西賢一街187巷,23.0039102,120.1762614,1,1,1,4,8
